symbol,name,sector,market_cap
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,3067347968.0
AVROIND,AVRO INDIA LIMITED,Consumer Cyclical,1380623744.0
AVTNPL,AVT Natural Products Limited,Basic Materials,10845666304.0
AWFIS,Awfis Space Solutions Limited,Industrials,21626394624.0
AWHCL,Antony Waste Handling Cell Limited,Industrials,13980145664.0
AWL,AWL Agri Business Limited,Consumer Defensive,241467916288.0
AXISBANK,Axis Bank Limited,Financial Services,4244140457984.0
AXISCADES,AXISCADES Technologies Limited,Industrials,80179412992.0
AXITA,Axita Cotton Limited,Consumer Cyclical,2942759424.0
AYE,Aye Finance Limited,Financial Services,40481681408.0
AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,12777602048.0
AZAD,Azad Engineering Limited,Industrials,135214792704.0
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,4177472256.0
BAGFILMS,B.A.G Films and Media Limited,Communication Services,990815296.0
BAIDFIN,Baid Finserv Limited,Financial Services,1547332224.0
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,2855553466368.0
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,79860047872.0
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,37831520256.0
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,2866924486656.0
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,10844425216.0
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,741250891776.0
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,45104447488.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,1220667244544.0
BAJAJINDEF,Indef Manufacturing Limited,Industrials,8078400000.0
BAJAJST,Bajaj Steel Industries Limited,,
BAJEL,Bajel Projects Limited,Utilities,24107769856.0
BAJFINANCE,Bajaj Finance Limited,Financial Services,6022946095104.0
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Consumer Cyclical,2408787200.0
BALAJITELE,Balaji Telefilms Limited,Communication Services,10696926208.0
BALAMINES,Balaji Amines Limited,Basic Materials,68048580608.0
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare,1270876672.0
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,610560128.0
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,429918060544.0
BALMLAWRIE,Balmer Lawrie & Company Limited,Industrials,31293702144.0
BALPHARMA,Bal Pharma Limited,Healthcare,1410270848.0
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,113704009728.0
BALUFORGE,Balu Forge Industries Limited,Industrials,54983376896.0
BANARBEADS,Banaras Beads Limited,Consumer Cyclical,692147520.0
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,43659472896.0
BANCOINDIA,Banco Products (I) Limited,Consumer Cyclical,96242638848.0
BANDHANBNK,Bandhan Bank Limited,Financial Services,333783138304.0
BANG,Bang Overseas Limited,Consumer Cyclical,435275968.0
BANKA,Banka BioLoo Limited,Industrials,968348160.0
BANKBARODA,Bank of Baroda,Financial Services,1470218240000.0
BANKINDIA,Bank of India,Financial Services,661183922176.0
BANSALWIRE,Bansal Wire Industries Limited,Basic Materials,49542131712.0
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,4415939072.0
BASF,BASF India Limited,Basic Materials,162983428096.0
BASML,Bannari Amman Spinning Mills Limited,Consumer Cyclical,2069963648.0
BATAINDIA,Bata India Limited,Consumer Cyclical,94924013568.0
BATLIBOI,Batliboi Limited,Industrials,3886357504.0
BAYERCROP,Bayer Cropscience Limited,Basic Materials,189134290944.0
BBL,Bharat Bijlee Limited,Industrials,32980244480.0
BBOX,Black Box Limited,Technology,175681126400.0
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,112402538496.0
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,4338332160.0
BCG,Brightcom Group Limited,Communication Services,20851331072.0
BCLIND,Bcl Industries Limited,Consumer Defensive,10566846464.0
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,2207419904.0
BCPL,BCPL Railway Infrastructure Limited,Industrials,1262634624.0
BDL,Bharat Dynamics Limited,Industrials,516669833216.0
BEARDSELL,Beardsell Limited,Industrials,1195335424.0
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,57560735744.0
BEDMUTHA,Bedmutha Industries Limited,Basic Materials,3660337664.0
BEEKAY,Beekay Steel Industries Limited,,
BEL,Bharat Electronics Limited,Industrials,3147225104384.0
BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,3474859520.0
BELRISE,Belrise Industries Limited,Consumer Cyclical,218011500544.0
BEML,BEML Limited,Industrials,147604766720.0
BENGALASM,Bengal & Assam Company Limited,,
BEPL,Bhansali Engineering Polymers Limited,Basic Materials,26127648768.0
BERGEPAINT,Berger Paints (I) Limited,Basic Materials,643050569728.0
BESTAGRO,Best Agrolife Limited,Basic Materials,5617990144.0
BETA,Beta Drugs Limited,Healthcare,22344292352.0
BFINVEST,BF Investment Limited,Financial Services,17515446272.0
BFUTILITIE,BF Utilities Limited,Industrials,24380372992.0
BGRENERGY,BGR Energy Systems Limited,Industrials,24549363712.0
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,37008850944.0
BHAGERIA,Bhageria Industries Limited,Basic Materials,9950872576.0
BHAGYANGR,Bhagyanagar India Limited,Basic Materials,12991568896.0
BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,1012187584.0
BHARATCOAL,Bharat Coking Coal Limited,Basic Materials,
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1020480192512.0
BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,2126522112.0
BHARATRAS,Bharat Rasayan Limited,Basic Materials,23227949056.0
BHARATSE,Bharat Seats Limited,Consumer Cyclical,12008615936.0
BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,14529528832.0
BHARTIARTL,Bharti Airtel Limited,Communication Services,11718774226944.0
BHARTIHEXA,Bharti Hexacom Limited,Communication Services,742049972224.0
BHEL,Bharat Heavy Electricals Limited,Industrials,1431650304000.0
BI,Bilcare Limited,,
BIGBLOC,Bigbloc Construction Limited,Industrials,6914559488.0
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,166689554432.0
BIL,Bhartiya International Limited,Consumer Cyclical,9759426560.0
BILVYAPAR,BIL VYAPAR LIMITED,Basic Materials,142402432.0
BIMETAL,Bimetal Bearings Limited,Consumer Cyclical,
BIOCON,Biocon Limited,Healthcare,697116917760.0
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Healthcare,580974656.0
BIRLACABLE,Birla Cable Limited,Technology,6511500288.0
BIRLACORPN,Birla Corporation Limited,Basic Materials,79161491456.0
BIRLAMONEY,Aditya Birla Money Limited,Financial Services,8193833984.0
BIRLANU,BirlaNu Limited,Industrials,10706569216.0
BIRLAPREC,Birla Precision Technologies Limited,,
BLACKBUCK,BLACKBUCK LIMITED,Technology,103574839296.0
BLACKROSE,Black Rose Inds. Limited,,
BLAL,BEML Land Assets Limited,Financial Services,7702566912.0
BLBLIMITED,BLB Limited,Financial Services,854831168.0
BLIL,Balmer Lawrie Investments Limited,,
BLISSGVS,Bliss GVS Pharma Limited,Healthcare,49273720832.0
BLKASHYAP,B. L. Kashyap and Sons Limited,Industrials,13312481280.0
BLS,BLS International Services Limited,Industrials,108806479872.0
BLSE,BLS E-Services Limited,Industrials,20741654528.0
BLUECOAST,Blue Coast Hotels Limited,Consumer Cyclical,568739136.0
BLUEDART,Blue Dart Express Limited,Industrials,119436926976.0
BLUEJET,Blue Jet Healthcare Limited,Healthcare,91841273856.0
BLUESTARCO,Blue Star Limited,Industrials,340255834112.0
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Consumer Cyclical,78669799424.0
BLUSPRING,Bluspring Enterprises Limited,Industrials,16109737984.0
BMWVENTLTD,BMW Ventures Limited,Basic Materials,5099709440.0
BNAGROCHEM,BN Agrochem Limited,,
BNALTD,B & A Limited,,
BODALCHEM,Bodal Chemicals Limited,Basic Materials,8564196352.0
BOHRAIND,Bohra Industries Limited,Basic Materials,162180144.0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Consumer Cyclical,28212668416.0
BONLON,Bonlon Industries Limited,Basic Materials,731516928.0
BORANA,Borana Weaves Limited,Consumer Cyclical,8465210880.0
BOROLTD,Borosil Limited,Consumer Cyclical,28103094272.0
BORORENEW,BOROSIL RENEWABLES LIMITED,Technology,85923446784.0
BOROSCI,Borosil Scientific Limited,Consumer Cyclical,14231527424.0
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,Consumer Cyclical,209959059456.0
BOSCHLTD,Bosch Limited,Consumer Cyclical,1185153286144.0
BPCL,Bharat Petroleum Corporation Limited,Energy,1332619247616.0
BPL,BPL Limited,Technology,2917975296.0
BRIGADE,Brigade Enterprises Limited,Real Estate,174480556032.0
BRIGHOTEL,Brigade Hotel Ventures Limited,Consumer Cyclical,25050615808.0
BRITANNIA,Britannia Industries Limited,Consumer Defensive,1265281138688.0
BRNL,Bharat Road Network Limited,Industrials,1586654976.0
BROOKS,Brooks Laboratories Limited,Healthcare,2165402368.0
BSE,BSE Limited,Financial Services,1634913353728.0
BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials,9758117888.0
BSL,BSL Limited,Consumer Cyclical,1327586816.0
BSOFT,BIRLASOFT LIMITED,Technology,87172907008.0
BTML,Bodhi Tree Multimedia Limited,Communication Services,1113807360.0
BTTL,Bhilwara Technical Textiles Limited,Consumer Cyclical,2002204288.0
BUILDPRO,Shankara Buildpro Limited,Consumer Cyclical,25245972480.0
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,11774578688.0
BVCL,Barak Valley Cements Limited,Basic Materials,911219200.0
BYKE,The Byke Hospitality Ltd,Consumer Cyclical,1798407936.0
CALSOFT,California Software Company Limited,Technology,1607539072.0
CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,27221303296.0
CAMPUS,Campus Activewear Limited,Consumer Cyclical,72669184000.0
CAMS,Computer Age Management Services Limited,Technology,204706856960.0
CANBK,Canara Bank,Financial Services,1211385511936.0
CANFINHOME,Can Fin Homes Limited,Financial Services,118887071744.0
CANHLIFE,Canara HSBC Life Insurance Company Limited,Financial Services,134703931392.0
CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,20211970048.0
CAPACITE,Capacit'e Infraprojects Limited,Industrials,23368480768.0
CAPILLARY,Capillary Technologies India Limited,Technology,39890964480.0
CAPITALSFB,Capital Small Finance Bank Limited,Financial Services,12953030656.0
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,190166056960.0
CAPTRUST,Capital Trust Limited,Financial Services,440381344.0
CARBORUNIV,Carborundum Universal Limited,Industrials,241393352704.0
CARERATING,CARE Ratings Limited,Financial Services,51667836928.0
CARRARO,Carraro India Limited,Consumer Cyclical,34230308864.0
CARTRADE,Cartrade Tech Limited,Consumer Cyclical,129321230336.0
CARYSIL,CARYSIL LIMITED,Consumer Cyclical,34042955776.0
CASTROLIND,Castrol India Limited,Energy,184599904256.0
CCAVENUE,AvenuesAI Limited,Technology,52284915712.0
CCCL,Consolidated Construction Consortium Limited,Industrials,6652248576.0
CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,2085810048.0
CCL,CCL Products (India) Limited,Consumer Defensive,155885961216.0
CDSL,Central Depository Services (India) Limited,Financial Services,286747983872.0
CEATLTD,CEAT Limited,Consumer Cyclical,141735886848.0
CEIGALL,Ceigall India Limited,Industrials,66319794176.0
CEINSYS,Ceinsys Tech Limited,Industrials,19484585984.0
CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,522196128.0
CELLO,Cello World Limited,Consumer Cyclical,85813837824.0
CEMPRO,Cemindia Projects Limited,Industrials,215868276736.0
CENTENKA,Century Enka Limited,Consumer Cyclical,11823352832.0
CENTEXT,Century Extrusions Limited,Basic Materials,1620800000.0
CENTRALBK,Central Bank of India,Financial Services,298062643200.0
CENTRUM,Centrum Capital Limited,Financial Services,11155670016.0
CENTUM,Centum Electronics Limited,Technology,54528372736.0
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,168007221248.0
CERA,Cera Sanitaryware Limited,Industrials,84577853440.0
CESC,CESC Limited,Utilities,229827411968.0
CEWATER,Concord Enviro Systems Limited,Utilities,7834558464.0
CGCL,Capri Global Capital Limited,Financial Services,207584722944.0
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,1510011305984.0
CHALET,Chalet Hotels Limited,Consumer Cyclical,180286914560.0
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Basic Materials,194917335040.0
CHEMBOND,Chembond Material Technologies Limited,Basic Materials,2434140160.0
CHEMBONDCH,Chembond Chemicals Limited,Basic Materials,6056033280.0
